fold,era,arm,label,model,kind,n_train,n_test,ic_train,ic_oos,capture_all,capture_q5,q5_frac,auc_train,auc_oos,base_rate_test,topdec_tp_rate,topdec_frac
3,1,base5y,fwd8,ridge,shuffle,30959,2893,0.029766348674700304,0.05491670431406842,0.03457002770935223,0.12405245802013457,0.2170756999654338,,,,,
3,1,base5y,fwd8,hgb,real,30959,2893,0.6059344765827652,-0.020321216263020685,-0.12477067209176294,-0.2205806925781403,0.3456619426201175,,,,,
3,1,base5y,fwd8,hgb,shuffle,30959,2893,0.5577787472658077,0.0027424005590246116,0.02999302655781551,-0.06502181126472217,0.2188040096785344,,,,,
3,1,base5y,br_canon_long,logit,real,30959,2893,,,,,,0.567760242952552,0.5157134854446521,0.5050120981679918,0.541025641025641,0.13480815762184584
3,1,base5y,br_canon_long,logit,shuffle,30959,2893,,,,,,0.5158794535956149,0.4784700155629227,0.5050120981679918,0.4177545691906005,0.132388524023505
3,1,base5y,br_canon_long,hgb,real,30959,2893,,,,,,0.8674416487607503,0.5427115238280966,0.5050120981679918,0.5859154929577465,0.12270998963014172
3,1,base5y,br_canon_long,hgb,shuffle,30959,2893,,,,,,0.8801924944478297,0.4877819584810281,0.5050120981679918,0.4618181818181818,0.09505703422053231
3,1,base5y,br_canon_short,logit,real,30959,2893,,,,,,0.565966534967148,0.5131327328155928,0.47597649498790184,0.5077519379844961,0.08918078119599032
3,1,base5y,br_canon_short,logit,shuffle,30959,2893,,,,,,0.5158046827036582,0.4730193357514999,0.47597649498790184,0.4876847290640394,0.07016937435188386
3,1,base5y,br_canon_short,hgb,real,30959,2893,,,,,,0.867875099923821,0.5362063910876576,0.47597649498790184,0.48095238095238096,0.07258900795022467
3,1,base5y,br_canon_short,hgb,shuffle,30959,2893,,,,,,0.8791466968581498,0.46475646840383766,0.47597649498790184,0.44666666666666666,0.05184929139301763
3,1,base5y,br_modal_long,logit,real,30959,2893,,,,,,0.6496684799645557,0.6836749906820723,0.07258900795022467,0.13075780089153047,0.2326304873833391
3,1,base5y,br_modal_long,logit,shuffle,30959,2893,,,,,,0.5266303533516983,0.5558827183501056,0.07258900795022467,0.09073359073359073,0.17905288627722088
3,1,base5y,br_modal_long,hgb,real,30959,2893,,,,,,0.9832608790309351,0.6105887155458531,0.07258900795022467,0.10449574726609964,0.2844797787763567
3,1,base5y,br_modal_long,hgb,shuffle,30959,2893,,,,,,0.9708456533272436,0.5166693289317218,0.07258900795022467,0.08895705521472393,0.11268579329415832
3,1,base5y,br_modal_short,logit,real,30959,2893,,,,,,0.6132131126587874,0.621716378859236,0.11925337020394054,0.18,0.1555478741790529
3,1,base5y,br_modal_short,logit,shuffle,30959,2893,,,,,,0.5338527544024649,0.4616351557345346,0.11925337020394054,0.06091370558375635,0.06809540269616315
3,1,base5y,br_modal_short,hgb,real,30959,2893,,,,,,0.983106983208281,0.5314938684503902,0.11925337020394054,0.1406926406926407,0.1596958174904943
3,1,base5y,br_modal_short,hgb,shuffle,30959,2893,,,,,,0.9677843265748846,0.4295963870498032,0.11925337020394054,0.07172995780590717,0.08192188040096786
4,1,base5y,fwd2,ridge,real,30981,2755,0.08604703128336152,0.028514093647126235,0.010920478574081321,0.050059442367683164,0.1970961887477314,,,,,
4,1,base5y,fwd2,ridge,shuffle,30981,2755,0.024381947571897898,0.055107099845855594,0.017894000637526865,0.015020689567412272,0.147005444646098,,,,,
4,1,base5y,fwd2,hgb,real,30981,2755,0.5498768275222633,0.03502034741027762,0.01947220831562736,0.10883389936949438,0.21814882032667876,,,,,
4,1,base5y,fwd2,hgb,shuffle,30981,2755,0.5477411573806745,0.008429395680209631,-0.033615142067511,0.012568066433288344,0.18548094373865698,,,,,
4,1,base5y,fwd4,ridge,real,30981,2755,0.10922466882292363,0.04635669343730674,0.05558995774732552,0.04722106739263346,0.226497277676951,,,,,
4,1,base5y,fwd4,ridge,shuffle,30981,2755,0.026097478569126448,0.027777048136930993,-0.06885327368848762,-0.06832455573276044,0.12558983666061707,,,,,
4,1,base5y,fwd4,hgb,real,30981,2755,0.563556605037222,-0.033966574853676886,-0.07522660302541274,-0.14590186956458148,0.24283121597096188,,,,,
4,1,base5y,fwd4,hgb,shuffle,30981,2755,0.5480692952496545,0.027492435075522806,0.012069858969099586,0.08585389827824998,0.14047186932849365,,,,,
4,1,base5y,fwd8,ridge,real,30981,2755,0.1190755762527286,0.018606336150061516,-0.11518960019777215,0.011861808845816205,0.2515426497277677,,,,,
4,1,base5y,fwd8,ridge,shuffle,30981,2755,0.02817860144752689,-0.0015028512839978625,-0.2992203259662837,-0.3043453957985581,0.16333938294010888,,,,,
4,1,base5y,fwd8,hgb,real,30981,2755,0.5992699953995091,-0.043376104673594255,-0.11507762023085237,-0.20907877472977618,0.22577132486388385,,,,,
4,1,base5y,fwd8,hgb,shuffle,30981,2755,0.5666826630288663,0.02389820667898464,-0.07337279669487115,-0.1916016571231163,0.1571687840290381,,,,,
4,1,base5y,br_canon_long,logit,real,30981,2755,,,,,,0.5664111466295119,0.5156229161709932,0.44500907441016335,0.48717948717948717,0.09909255898366606
4,1,base5y,br_canon_long,logit,shuffle,30981,2755,,,,,,0.5195166270748101,0.5175892505630673,0.44500907441016335,0.5,0.0573502722323049
4,1,base5y,br_canon_long,hgb,real,30981,2755,,,,,,0.8671956581287682,0.5369634590414574,0.44500907441016335,0.5631067961165048,0.07477313974591651
4,1,base5y,br_canon_long,hgb,shuffle,30981,2755,,,,,,0.8850220865854381,0.5084740156858645,0.44500907441016335,0.4766355140186916,0.07767695099818511
4,1,base5y,br_canon_short,logit,real,30981,2755,,,,,,0.564286864073511,0.5252625526534813,0.5339382940108893,0.5426136363636364,0.1277676950998185
4,1,base5y,br_canon_short,logit,shuffle,30981,2755,,,,,,0.5193472311894874,0.5008974122759646,0.5339382940108893,0.5400516795865633,0.14047186932849365
4,1,base5y,br_canon_short,hgb,real,30981,2755,,,,,,0.8645867462905542,0.5348571870281306,0.5339382940108893,0.5975609756097561,0.08929219600725953
4,1,base5y,br_canon_short,hgb,shuffle,30981,2755,,,,,,0.8898750479906826,0.5081746581362203,0.5339382940108893,0.6130952380952381,0.060980036297640657
4,1,base5y,br_modal_long,logit,real,30981,2755,,,,,,0.6481413495986189,0.649542231898621,0.07114337568058077,0.11538461538461539,0.16043557168784028
4,1,base5y,br_modal_long,logit,shuffle,30981,2755,,,,,,0.5292652629854043,0.4313447536107057,0.07114337568058077,0.015384615384615385,0.047186932849364795
4,1,base5y,br_modal_long,hgb,real,30981,2755,,,,,,0.9853624189296661,0.6105701366126756,0.07114337568058077,0.12631578947368421,0.13793103448275862
4,1,base5y,br_modal_long,hgb,shuffle,30981,2755,,,,,,0.967536960938657,0.4163496582689348,0.07114337568058077,0.05263157894736842,0.08275862068965517
4,1,base5y,br_modal_short,logit,real,30981,2755,,,,,,0.6131159671877846,0.6273559810824397,0.17386569872958257,0.2732919254658385,0.1753176043557169
4,1,base5y,br_modal_short,logit,shuffle,30981,2755,,,,,,0.5234935144300703,0.4919161918319874,0.17386569872958257,0.18050541516245489,0.10054446460980036
4,1,base5y,br_modal_short,hgb,real,30981,2755,,,,,,0.9810534081881984,0.6012443542676417,0.17386569872958257,0.30277777777777776,0.1306715063520871
4,1,base5y,br_modal_short,hgb,shuffle,30981,2755,,,,,,0.9642873420612863,0.4961842003881842,0.17386569872958257,0.2054263565891473,0.09364791288566243
5,1,base5y,fwd2,ridge,real,30931,2783,0.08626471265401274,-0.012636266323199839,-0.029266400235589705,-0.08094736157041814,0.1710384477182896,,,,,
5,1,base5y,fwd2,ridge,shuffle,30931,2783,0.01812261246242577,-0.003790683205582934,-0.02874181317952643,-0.0005443429803203,0.21379805964786203,,,,,
5,1,base5y,fwd2,hgb,real,30931,2783,0.5418534795147717,0.0281602381972326,0.006360689837775924,0.003509803360823939,0.17858426158821417,,,,,
5,1,base5y,fwd2,hgb,shuffle,30931,2783,0.5573725548281693,0.013851004542696194,0.016303797610534645,-0.02316700309474344,0.16133668702838663,,,,,
