fold,era,feature,ic_oos
13,3,tod_sin,0.007083788627143505
13,3,tod_cos,-0.021489512097648822
13,3,dow_sin,-0.009823897822033426
13,3,dow_cos,-0.027918608314881303
13,3,session_asia,-0.009754452478831393
13,3,session_london,0.03252828889677462
13,3,session_newyork,-0.004227777692185919
13,3,session_london_ny_overlap,0.03377557584828434
14,3,close_ema20_atr,-0.021565792212255804
14,3,close_ema50_atr,-0.03920887216245523
14,3,close_ema200_atr,-0.07300127841139906
14,3,ema20_ema50_atr,-0.045245113486523804
14,3,macd_hist_atr,-0.015645067735451813
14,3,roc20_atr,-0.03949901689496501
14,3,atr_close,0.04519683745612091
14,3,atr_fast_slow,0.03384995739110663
14,3,bb_width_close,-0.0007724731512107354
14,3,range_atr,0.024547651241922302
14,3,upper_wick_ratio,0.023064289805285992
14,3,lower_wick_ratio,-0.019351297435159044
14,3,ret1_atr,0.003995392021358658
14,3,ret2_atr,0.02069970212974602
14,3,ret3_atr,0.03865459446665728
14,3,ret4_atr,0.03527065049016438
14,3,ret5_atr,0.027532654138409256
14,3,tod_sin,-0.05363380893708108
14,3,tod_cos,-0.005839398972156172
14,3,dow_sin,-0.024838731550606737
14,3,dow_cos,-0.03118916937431519
14,3,session_asia,-0.0667520837105334
14,3,session_london,0.010332269881779299
14,3,session_newyork,0.05320585196358316
14,3,session_london_ny_overlap,0.013317752775128217
15,3,close_ema20_atr,-0.05834176053313935
15,3,close_ema50_atr,-0.0527148373017641
15,3,close_ema200_atr,-0.03661426051248085
15,3,ema20_ema50_atr,-0.03312852629035124
15,3,macd_hist_atr,-0.06423080529025703
15,3,roc20_atr,-0.07777568225028725
15,3,atr_close,0.0010079265230994994
15,3,atr_fast_slow,0.009649584324090632
15,3,bb_width_close,0.005722543606986172
15,3,range_atr,-0.036578577997359786
15,3,upper_wick_ratio,0.015996268715743615
15,3,lower_wick_ratio,-0.02372985496090589
15,3,ret1_atr,0.007442010296827178
15,3,ret2_atr,0.015530223048255827
15,3,ret3_atr,-0.006579612395187046
15,3,ret4_atr,-0.01533082471385755
15,3,ret5_atr,-0.032193083991833696
15,3,tod_sin,0.009866368647976326
15,3,tod_cos,0.06246953060828992
15,3,dow_sin,0.006666929612153636
15,3,dow_cos,-0.006396382181372494
15,3,session_asia,0.010642642845107356
15,3,session_london,-0.03378515193356096
15,3,session_newyork,-0.033587476329105415
15,3,session_london_ny_overlap,-0.060072179882044455
16,3,close_ema20_atr,0.034445260155337436
16,3,close_ema50_atr,0.034538627450382796
16,3,close_ema200_atr,0.0044036634940807125
16,3,ema20_ema50_atr,0.018133688567470527
16,3,macd_hist_atr,0.023409861116610357
16,3,roc20_atr,-0.0004187879448578829
16,3,atr_close,0.0005699757835539496
16,3,atr_fast_slow,-0.050079685776850826
16,3,bb_width_close,0.017734383378941617
16,3,range_atr,0.004620035203611569
16,3,upper_wick_ratio,-0.012185080737011699
16,3,lower_wick_ratio,0.020641632418337386
16,3,ret1_atr,0.0119702202345728
16,3,ret2_atr,0.017710144278251898
16,3,ret3_atr,0.028756120481862987
16,3,ret4_atr,0.030014155259355975
16,3,ret5_atr,0.025739612299768004
16,3,tod_sin,-0.019612480124277805
16,3,tod_cos,0.0053942057294950885
